,,Pattern Matching Male Song,,Pattern Matching Male Chorus,,Pattern Matching Female Song,,Pattern Matching Hatchling,,Pattern Matching Nestling,,Pattern Matching Fledgling,,,,Pulse 1,,,,,,,,,Pulse 2,,,,,,,,,Pulse 3,,,,,,,,,Pulse 4,,,,,,,,,53,,55,,57,,59,,,,63,,,,,,,,,72,,74,75,,,"Text for the ""Results"" in the report",,,Text for the Key Dates and Outcomes Table,,,,,,,,VLookup,VLookup,,,VLookup,VLookup,VLookup,VLookup,,Used in Stats?
34072,2022 Paicines Ranch - Teal Pond B,2022 Paicines Ranch B MS,205,2022 PR - TPB MC01,95,2022 PR TP B FS01,22,2022 PR - TP B Hatchling,0,2022 PR - TP B Nestling,30,2022 Paicines Ranch TP B FC06,245,4/11/2022,8/3/2022,pre,4/15/2022,4/10/2022,4/22/2022,7,5/9/2022,17,6/1/2022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 PR TP-B Insect sp30-02,0,2022 PR TP b Insect sp31-01,111,2022 PR TP-B Insect sp32-02,1038,2022 PR TP B Insect sp33,103,,,,,,,,,,,Y,Simple,,Successful,n/a,n/a,n/a,This ARU is considered a duplicate dataset of 2022 Paicines Ranch – Teal Pond.,Dupe using 2022 Paicines Ranch - Teal Pond,"Something about these vocalizations sounds different to me, suggesting that in addition to the MS sounding different in this population, so does the Nestling calls. Note 4/21/2022 1600 there is a human laugh recorded. One recorder has it at 17 sec and the other at 27 sec, so if these are in sync at all, the two recorders are approximately 10X343m apart, or 3,430 meters apart, soooo.... I think that says they aren't in sync. Debi reports that the recorders ar ~100m apart. So, good news recorders agree with date/time/min. Bad news for triangulation they are not in sync at the seconds level. Fledgling dispersal was calculated by scanning thumbnails for a drop in consistent nestling chorus. This was later documented with p1f tag.",3m,4000,"Bulrush, cattails",See 2022 Paicines Ranch - Teal Pond.,San Benito,Debi Shearwater,debiluv@earthlink.net,"Something about these vocalizations sounds different to me, suggesting that in addition to the MS sounding different in this population, so does the Nestling calls. Note 4/21/2022 1600 there is a human laugh recorded. One recorder has it at 17 sec and the other at 27 sec, so if these are in sync at all, the two recorders are approximately 10X343m apart, or 3,430 meters apart, soooo.... I think that says they aren't in sync. Debi reports that the recorders ar ~100m apart. So, good news recorders agree with date/time/min. Bad news for triangulation they are not in sync at the seconds level. Fledgling dispersal was calculated by scanning thumbnails for a drop in consistent nestling chorus. This was later documented with p1f tag.",CNLM,2022 Paicines Ranch - Teal Pond B,Dupe,2022 Paicines Ranch - Teal Pond:,7658,36.7136,-121.2960,192,,
52598,2022 Panoche Creek Preserve Loc4,2022 PCP Loc4 MStyp5,48,2022 PCP Loc4 MC01,31,2022 PCP Loc4 FS01,0,2022 PCP loc4 Hatchling,0,2022 PCP loc4 Nestling,0,2022 PCP Loc4 FC06,0,3/22/2022,4/14/2022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 PCP Loc4 Insect sp30-02,0,2022 PCP Loc4 Insect sp31-01,145,2022 PCP Loc4 Insect sp32-02,317,2022 PCP Loc4 Insect sp33,243,,,,,,,,,,,,No Colony,,No Colony,n/a,n/a,n/a,"Only scattered Male Song detections were recorded, with no detections of Female Chatter or Begging Calls. These acoustic patterns indicate that breeding was not initiated at this location. The ARU was subsequently relocated to 2022 Panoche Creek Marsh East 1.
The site had been labeled Panoche Creek Preserve Loc4, but was renamed to align with the nearby site in the UC Davis Tricolored Blackbird Portal.",,No colony formed. Only a handful of male song heard. Recorder was moved to loc 5.,NEED,NEED,NEED,"An emergent marsh dominated by narrow-leaf cattail and bulrush, fed by a narrow stream flowing through riparian woodland dominated by phreatophytic plants including Fremont cottonwood and red willow, and herbaceous understory plants such as salt grass and alkali heath.",San Benito,Ben Teton,bteton@cnlm.org,,CNLM,2022 Panoche Creek Marsh East 1,,,1644,36.5910,-120.7690,319,,
34130,2022 Panoche Creek Preserve Loc5,2022 PCP Loc5 MS,311,2022 PCP Loc5 MC01,0,2022 PCP Loc5 Female 01,171,2022 PCP loc5 Hatchling,29,2022 PCP loc5 Nestling,345,2022 Panoche Creek Loc 5 FC06,92,4/14/2022,6/23/2022,pre,pre,4/8/2022,4/20/2022,ND,5/1/2022,11,5/15/2022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 PCP Loc5 Insect sp30-02,0,2022 PCP Loc5 Insect sp31-01,453,2022 PCP Loc5 Insect sp32-02,1141,2022 PCP Loc5 Insect sp33,264,,,2022 PCP Loc5 PTF,759,,,,,,,,Simple,,Successful,n/a,n/a,n/a,"The ARU was initially deployed at Panoche Creek Preserve Location 4 and subsequently relocated to this site. No Male Chorus detections were recorded, indicating that chorus activity had likely ceased prior to deployment. A small number of late Nestling Begging Call detections were recorded, suggesting the presence of a small number of asynchronous nests. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful.
The site had been labeled Panoche Creek Preserve Loc5, but was renamed to align with the nearby site in the UC Davis Tricolored Blackbird Portal.","This colony’s breeding type was Simple, with one breeding attempt. The outcome was Successful.
The ARU was placed after Male Chorus had already ended, but the colony’s progression was clear from early Hatchling and Nestling Begging Calls onward. A strong Fledgling pulse confirmed successful reproduction.",Recorder was originally placed at loc 4 and then moved to loc 5. Recordings have been split to reflect their correct locations,NEED,NEED,NEED,"An emergent marsh dominated by narrow-leaf cattail and bulrush, fed by a narrow stream flowing through riparian woodland dominated by phreatophytic plants including Fremont cottonwood and red willow, and herbaceous understory plants such as salt grass and alkali heath.",San Benito,Ben Teton,bteton@cnlm.org,,CNLM,2022 Panoche Creek Marsh East 2,,,5040,36.5910,-120.7690,319,,Y
52597,2022 Panoche Creek Preserve Loc3,2022 PCP Loc3 MStyp5,387,2022 PCP Loc3 MC01,532,2022 PCP loc3 FS01,156,2022 PCP loc3 Hatchling,10,2022 PCP loc3 Nestling,260,2022 PCP Loc3 FC06,75,3/18/2022,6/23/2022,3/22/2022,4/11/2022,4/8/2022,4/20/2022,9,5/3/2022,13,5/16/2022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 PCP Loc3 Insect sp30-02,0,2022 PCP Loc3 Insect sp31-01,510,2023 PCP Loc3 Insect sp32-02,1233,2022 PCP Loc3 Insect sp33,365,,,2022 PCP Loc3,1063,,,,,,,,Simple,,Successful,n/a,n/a,n/a,"Male Chorus detections persisted for an extended period before the onset of Female Chatter, indicating delayed initiation of Settlement. Female Chatter detections continued for approximately ten days after the onset of Brooding, indicating some asynchrony; however, the dominant detection pattern was consistent with a Simple synchronous breeding attempt. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful.","Male Chorus persisted for an extended period before Female Chatter began, indicating delayed initiation of nesting. Once nesting commenced, a clean sequence of Begging Calls and a strong Fledging pulse indicated successful reproduction.",,NEED,NEED,NEED,NEED,Fresno,Ben Teton,bteton@cnlm.org,,CNLM,2022 Panoche Creek Preserve Location 3,,,6990,36.5910,-120.5910,207,,Y
34012,2022 Plumas Arboga East,2022 Plumas Arboga East MS type 5,2564,2022 PA E MC01,0,2022 Plumas Arboga East FS01,637,2022 PA E Hatchling,199,2022 PA E Nestling,1307,2022 PA E FC06,1393,5/4/2022,6/28/2022,pre,pre,pre,"before start, HBC present",ND,5/12/2022,ND,5/30/2022,ND,ND,ND,5/10/2022,5/22/2022,ND,6/7/2022,16,post,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 PAE Insect sp30-02,0,2022 PA E Insect sp31-01,0,2022 PA E Insect sp32-02,0,2022 PAE Insect sp33,0,,,,,,,,,,,,Complex,"Asynchronous, Sequential",Successful,Successful,n/a,n/a,"Two ARUs were deployed at this colony. This dataset is treated as the core dataset because it produced more recordings containing vocalizations of interest. The ARU was placed during Brooding. Two distinct breeding attempts, indicated by recordings containing Fledgling Begging Calls spaced approximately one month apart, support classification as a Sequential colony. In each attempt, Female Chatter extended into Brooding, indicating Asynchronous nesting. Because the colony exhibited characteristics of more than one colony type, it was classified as Complex. Recordings containing Fledgling Begging Calls confirm that both attempts were Successful.",,"Nestlings are detected on the very first day that the ARU was placed. This site had continuous Male Chorus, suggesting Asynchronous colony type. However, you can also see that there is also a hint that there is a Multiple bout of breeding in that there are two bouts of fledglings that are spaced approximately 30 days apart. From the density of detections, it appears that the second Multiple bout of breeding was larger than the first bout.",NEED,9000,Himalayan blackberry,"Isolated Himalayan copse on private ranch. Ca. 500 m of blackberries along fence line.  Water available when adjacent fields are flood irrigated, even in drought years.",Yuba,Robert Meese,,,Central Sacramento Valley,2022 Plumas Arboga 6 East,,,7896,39.0374,-121.5340,18,,
34013,2022 Plumas Arboga West,2022 Plumas Arboga West MS type 5,1145,2022 PA W MC01,0,2022 Plumas Arboga FS 01,1522,2022 PA W Hatchling,213,2022 PA W Nestling,1263,2022 PA W FC06,1287,5/11/2022,6/28/2022,pre,pre,5/12/2022,5/24/2022,ND,6/1/2022,8,6/23/2022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 PAW Insect sp30-02,0,2022 PA W Insect sp31-01,0,2022 PA W sp32-02,0,2022 PAW Insect sp33,0,,,,,,,,,,,,Simple,,Successful,n/a,n/a,n/a,This ARU is considered a duplicate dataset of 2022 Plumas Arboga 6 East.,,"The ARU was set for 1 every 10 min. While this ARU was placed in the same colony as 2022 Plumas Arboga East, this recorder picked up a section of the colony that had a higher level of synchrony, though you can see a few Hatchling and Nestling Begging Calls in early May, similar to the Plumas Arboga East site.  ",NEED,9000,Himalayan blackberry,See 2022 Plumas Arboga East. This ARU was placed about 250m west of that one.,Yuba,Robert Meese,,,Central Sacramento Valley,2022 Plumas Arboga 6 West,Dupe,2022 Plumas Arboga 6 East:,6897,39.0374,-121.5370,18,,
34131,2022 Private Site 1 - not real lat lon,2022 Sandy Mush HL01,1000,2022 SM SG MC01,0,2022 PS1 FS01,241,2022 SM Hatchling,149,2022 SM Nestling,553,2022 Sandy Mush FC06,260,4/19/2022,6/3/2022,pre,pre,4/18/2022,4/30/2022,ND,5/8/2022,8,5/26/2022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 Private Site 1 Insect sp30-02,0,2022 PS1 Insect sp31-01,0,2022 PS1 Insect sp32-02,0,2022 PS1 Insect sp33,0,,,,,,,,,,,,Asynchronous,,Successful,n/a,n/a,n/a,"The ARU was deployed during Incubation. Female Chatter detections persisted for more than 20 days after the onset of Brooding, producing extended temporal overlap with nestling-stage vocalizations and indicating Asynchronous nest initiation within the colony. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful. To protect the identity of the private landowner, the GPS coordinates provided in this report are approximate and do not represent the precise breeding location.",,"Female song continued for more than 20 days after first nestling heard, so this is a very asynchrounous colony. Also hear young nestlings scattered throughout suggesting the lack of synchrony when hatching. There also was no clear cessation of male chorus. Because of this I did not document male chorus. While nestling calls can be heard through 6/1/2022, there is a large drop in density of Nestlng calls starting the 5/26, so I have marked this as the dispersal date for the colony. Tagged one of the last dense recordings with the tag ""p1 dispersal"". Likely most of the stragglers were abandoned as the YNCs do not continue past 6/1, and they sounded to young the have fledged. But this is pure speculation. IMPORTANT NOTE - I need to obsfucate the location as this was placed on a dairy farm field with equirement that exact location is not published.",5m,"35,000",Triticale,Irrigated large silage field with dense triticale. The ARU was placed on a wooden stake within silage.,Merced,"Bahm, Jesse","No longer there, need to protect ID of site",,Dairies,2022 Private Site 1 - approximate lat lon,,,3239,37.0000,-120.0000,92,,
34133,2022 Private Site 2 - not real lat lon,2022 HL-S MS HL-MS01,491,2022 HL - Silveira MC01,0,2022 PS2 FS01,86,2022 HL Silveira Hatchling,12,2022 HL Silveira Nestling,325,2022 Hulen Levee - Silveria FC06,109,4/19/2022,5/2/2022,pre,per,pre,"before start, HBC present",ND,4/25/2022,ND,post,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 Private Site 2 Insect sp30-02,0,2022 PS2 Insect sp31-01,2,2022 PS2 Insect sp32-02,4,2022 PS2 Insect sp33,8,,,,,,,,,,,,Asynchronous,,Successful,n/a,n/a,n/a,"The ARU was deployed after the onset of Brooding and retrieved prior to fledgling dispersal. Although the deployment duration was limited to 14 days, recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful. Female Chatter detections overlapped with both Nestling and Fledgling Begging Call detections, supporting classification of this colony as Asynchronous. To protect the identity of the private landowner, the GPS coordinates provided in this report are approximate and do not represent the precise breeding location.",,"Recorder was placed after nestlings hatched, and retrieved before dispersal. There is a ""Silveira Brother's Dairy"" at 37.134431, -121.003957. This could be close to the actual coordinates.",NEED,NEED,Triticale,Irrigated large silage field with dense triticale. The ARU was placed on a wooden stake within silage.,Merced,"Bahm, Jesse","No longer there, need to protect ID of site",,Dairies,2022 Private Site 2 - approximate lat lon,,,932,37.0000,-120.0000,92,,
34132,2022 Private Site 3 - not real lat lon,2022 HL-T HL-MS01,1013,2022 HL - Thistle MC01,0,2022 PS3 FS01,330,2022 HL Thistle Hatchling,61,2022 HL Thistle Nestling,396,2022 HL Thistle FC06,137,4/19/2022,6/3/2022,pre,pre,pre,"before start, HBC present",ND,5/9/2022,ND,5/25/2022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 Private Site 3 Insect sp30-02,1,2022 PS3 Insect sp31-01,5,2022 PS3 Insect sp32-02,16,2022 PS3 Insect sp33,0,,,,,,,,,,,,Asynchronous,,Successful,n/a,n/a,n/a,"The ARU was deployed after the onset of Brooding. Female Chatter detections were recorded throughout most of the deployment, including periods when Nestling and Fledgling Begging Calls were also detected, indicating prolonged overlap of breeding stages consistent with Asynchronous nesting. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful. To protect the identity of the private landowner, the GPS coordinates provided in this report are approximate and do not represent the precise breeding location.",,"Recorder was placed after fisrt nestlings were heard. This was a very asynchronous colony, female song was heard continuously from the date the recorder was placed until 5/24/2022, more than an entire month. Even hear a young nestling on the last days, though only in a few recordings. Also, since this is triticale - rumor has it that the creches of fledflings will hang out for weeks.... So I put p1f near the end of recordings with decent numbers of Fledgling calls. This was placed onto Godhino Dairy, approximate coordinates 37°06'22.5""N 120°52'12.6""W, or converted 37.10625, -120.870167. IMPORTANT - these were placed on dairy farms with the understanding that their exact coordinates and placement will not be shared!",NEED,NEED,Milk thistle,A patch of milk thistle located on a dairy ranch.,Merced,"Bahm, Jesse","No longer there, need to protect ID of site",,Dairies,2022 Private Site 3 - approximate lat lon,,,3228,37.0000,-120.0000,92,,
34045,2022 Rancho Jamul,2022 Rancho Jamul MS02,691,2022 RJ MC01,282,2022 RJ FS01,3,2022 RJ Hatchling,11,2022 RJ Nestling,305,2022 RJ FC06,648,3/2/2022,7/2/2022,3/20/2022,4/10/2022,4/2/2022,4/14/2022,4,4/27/2022,13,6/29/2022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 RJ sp30-02,0,2022 RJ Insect sp31-01,0,2022 RJ Insect sp32-02,10,2022 RJ Insect sp33,6,,,,,,,,,,,Y,Asynchronous,,Successful,n/a,n/a,n/a,"Male Chorus detections persisted through much of the deployment, reducing the effectiveness of automated detection of Female Chatter and necessitating manual review. Manual analysis indicated that Female Chatter detections overlapped extensively with Nestling and Fledgling Begging Call detections. This prolonged overlap of reproductive stages supports classification of the colony as Asynchronous. Sustained Fledgling Begging Call detections indicate that the breeding attempt was classified as Successful.",,"There was a very long tail of scattered female song as well as young nestling calls, so I think there was continuous nesting at this site, though the majority nested together. I have attempted to document this larger pulse with the reported dates. It is possible that there was an asynchronous pulse that wraps up on 5/28, and there is a second weaker asynchronous pulse that accounts for the long tail. ",NEED,NEED,NEED,NEED,San Diego,"Tracie Nelson, John Martin","tracie.nelson@wildlife.ca.gov, xenozoon7@gmail.com",,Rancho Jamul,2022 Rancho Jamul,,,8547,32.6846,-116.8560,236,,
34046,2022 SJWA,2022 SJWA MS04,160,2022 SJWA MC01,384,2022 SJWA FS01,3,2022 SJWA Hatchling,6,2022 SJWA Nestling,119,2022 SJWA FC06,8,5/10/2022,6/27/2022,pre,5/22/2022,5/14/2022,5/26/2022,4,~6/11/2022,16,~6/23/2022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 SJWA Insect sp30-02,0,2022 SJWA Insect sp31-01,184,2022 SJWA Insect sp32-02,161,2022 SJWA Insect sp33,19,,,,,,,,,,,Y,Asynchronous,,Successful,n/a,n/a,n/a,"Male Chorus detections persisted through much of the deployment and overlapped with Nestling Begging Call detections. Because Male Chorus extended into Incubation, Female Chatter detections were masked, and only three recordings containing this vocalization were detected. In addition, numerous Red-winged Blackbird Female Chatter vocalizations were present, and care was taken to avoid potential false positives. The prolonged overlap of Male Chorus with the extended temporal distribution of Nestling Begging Call detections support classification of this colony as Asynchronous. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful.",,"Male Chorus was likely missed. There is a constant blur of the colony and other birds of the area that extends all the way past hatch date that I would consider just the background of an occupied colony or sounds of the additional species occupying the marsh. I believe that the increased male chorus was missed and occurred before the recorder was placed. It could also be that the male chorus is indistinguisable from the background of the marsh. It is also possible that the colony was not synchrouous and there was no real end to male chorus. Nestling/Fledgling heard through end of recordings, but drop in calls suggests 6/23/2022 as the dispersal day for the majority of the nestlings.",10m,800,Cattails,"To the west is private land, perennial ryegrass hay and alfalfa. To the south is the pond which is surrounded by a narrow band of willows and mulefat, and has a dense growth of cattails and bulrush in the pond itself. Beyond the pond is weedy fallow fields. To the east is Mystic Lake bed, mostly grown up in tall forbs, native and non-native. To the north is SJWA irrigated, weedy fields. ",Riverside,Dave Goodwin,,,San Jacinto Wildlife Area,2022 San Jacinto Wildlife Area - Bridge Street Pond,,,3457,33.8627,-117.0730,435,,
34090,2022 Ohlone - Santa Lucia Preserve,2022 Ohlone MaleSong02,1718,2022 Ohlone MC01,352,2022 Ohlone New FS01,46,2022 Ohlone Hatchling,44,2022 Ohlone Nestling,189,2022 Ohlone FC06,136,3/21/2022,8/16/2022,4/13/2022,4/21/2022,4/20/2022,5/2/2022,11,5/20/2022,18,6/17/2022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 Ohlone sp30-02,110,2022 Ohlone Insect sp31-01,0,2022 Ohlone Insect sp32-02,17,2022 Ohlone Insect sp33,33,,,,,,,,,,,Y,Asynchronous,,Successful,n/a,n/a,n/a,"Prolonged overlap of Male Chorus, Female Chatter, and multiple stages of Begging Call detections produced an extended breeding signal characteristic of Asynchronous nesting. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful.
The site had been labeled 2022 Ohlone - Santa Lucia Preserve, but was renamed to align with naming patterns of other sites.",,"This data set needs a complete relook now that I have my head wrapped around subcolony additions, constant nesting, etc. Look at all of the graphs and really rethink what makes up a pulse. Asynchronous colony that had hints of pulses. Tried my best to document the rough dates of these pulses. Since the colony is aysnchronous these are very rough. After initial Male chorus, there is a scattering of male chorus later in the season, these are marked in the mini-manual analysis and I marked p2c and p3c as best I could to capture these. These other pulses are not as sustained as the first, and female song continues throughout this time. So while there may be other pulses within this colony, but they are not clearly definged. Nestling heard at the end, I think it is not a Tricolored Blackbird, I tagged them as ""other nestling"" and validated as Tricolored Blackbird nestling call not present. This other nestling has a doublet calls, and it seems less fuzzy and more compact than the Tricolored Blackbird nestling call. Might need to review these all again more carefully. I attempted to mark the 3 pulses even though the dates are a bit blurry due to overlapping pulses and lack of synchrony. The first pulse is smaller than the second, and the fledgling chorus is barely mutliple ONC, but I think I have it right. For feldgling/simple call 2 I am marking the dates with the louder full kHtz calls. UPDATE: By adding the Fledgling Call I think I have this teased out well. I expanded the MC, and can see the three bouts. The 2nd bout of Fledglings is quite brief, existing for really only 5/30. Brian noted colony size in email on Aug 23, 2022.",NEED,400,NEED,NEED,Monterey,Brian Woodward,no longer there - contact jwatts@slconservancy.org ED,"Brian noted colony size in email on Aug 23, 2022.",Monterey,2022 Santa Lucia Preserve - Ohlone Pond,,,10658,36.5080,-121.8790,318,,
33985,2022 Sedgwick,2022 Sedgwick MS 1.0 2022,422,2022 Sedgwick MC01,195,2022 Sedgwick FS 01,77,2022 Sedgwick Hatchling,20,2022 Sedgwick Nestling,848,2022 Sedgwick FC06,109,3/20/2022,7/12/2022,pre,4/4/2022,3/29/2022,4/10/2022,6,4/26/2022,16,5/6/2022,ND,5/1/2022,5/5/2022,5/9/2022,5/21/2022,16,6/3/2022,13,6/12/2022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 Sedgwick Insect sp30-02,0,2022 Sedgwick Insect sp31-01,35,2022 Sedgwick Insect sp32-02,408,2022 Sedgwick Insect sp33,148,,,2022 Sedgwick PTF,801,,,,,2022 Sedgwick BF05,0,,Sequential,,Successful,Successful,n/a,n/a,"Two temporally distinct breeding attempts were detected, each exhibiting a complete sequence of breeding-stage vocalizations. The first attempt produced a greater number of recordings containing vocal detections than the second. Given fixed recorder placement and a stable colony footprint, the higher detection rate of Nestling Begging Calls in the first attempt suggests greater nestling presence near the recorder relative to the second attempt. Recordings containing Fledgling Begging Calls were detected for both attempts, and both were therefore classified as Successful.",,"No male chorus detected. There were periods each morning that had a weak male chourus, but nothing that wasn't above the background of the colony over time.",2m,200,"Bulrush, cattails","Mature oak trees in proximity to the colony with some smaller shrubs less than 10 m away from the colony. Besides scattered trees, most of the surrounding vegetation is open grassland. ",Santa Barbara,Meredith Honig,wendy.schackwitz@gmail.com,"I deployed the ARU this year, and observed about 600 birds which came into the marsh in the evening and departed early the next morning, presumably to feed. ",Sedgwick,2022 Sedgwick Reserve,,,7703,34.6950,-120.0420,343,,Y
33984,2022 WA Harder Spring,2022 WA HS WA01,262,2022 WA HS MC01,152,2022 WA HS FS01,263,2022 WA HS Hatchling,18,2022 WA HS Nestling,705,2022 WA HS FC06,280,3/18/2022,7/13/2022,5/1/2022,5/3/2022,#VALUE!,~5/17/2022,14,5/30/2022,13,6/11/2022,ND,5/18/2022,5/27/2022,5/26/2022,6/7/2022,11,6/15/2022,8,6/22/2022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 WA HS Insect sp30-02,0,2022 WA HS Insect sp31-01,0,2022 WA HS Insect sp32-02,0,2022 WA HS sp33-08,63,2022 WA HS PTF01,674,,,,,,,2022 WA HS Bullfrog CS,0,,Additions,,Successful,Successful,n/a,n/a,"An initial synchronous breeding attempt was identified based on detections of Hatchling, Nestling, and Fledgling Begging Calls in the expected temporal order. Manual analysis for Hatchling Begging Calls located three recordings on 17 May with high kHz vocalizations. No Begging Calls were detected on 18-19 May which corresponed to an increase in Male Chorus which would have masked the vocalizations.  A second breeding attempt was identified using the same criteria, with hatch dates approximately 20 days apart. Because Tricolored Blackbirds typically require at least 30 days between breeding attempts, this spacing indicates that the second attempt reflects the arrival of an additional cohort rather than a repeat attempt by the same birds, resulting in overlapping breeding stages. Recordings containing Fledgling Begging Calls were detected for both cohorts, and each attempt was therefore classified as Successful. (LOST THE MASKING ISSUE, IS IT IMPORTANT TO ADD BACK?)",,"Sub-colony addition. After the first birds established a larger group appears to have joined them, resulting in overlapping breeding stages.  Based on density of nestling calls the second addition of birds was significanly larger than the first. The hatching date for the colony for pulse 1 is estimated, as the onset of pulse 2 Male Chorus drowns out the nestlings. So dates marked as nestling call not present when there is the loud male chorus are likely just because I can't hear them. When I do finally hear them, it is obvious that they are older nestlings. A few nestlings were heard on 5/17, and with most colonies the majority of hatching happens the day after first nestlings are heard, so I estimate that hatching date is ~5/18. The Fledgling dispersal date of pulse 1 is also an estimate as the calls from pulse 2 nestlings make it hard to determine the exact date. For recordings that were analyzed to determine the edge of hatching and dispersal (p1n, p2n) where the two pulaes overlapped I have marked the YNC with the tag YNC-p2 and the older nestling calls with ONC-p1 to distinguish between the two pulses of nestlings. I picked the p1 dispersal date on the day that seemed to have a lull in the ONC. There is a temporary lull in p2 nestling calls 6/12-6/13. There was also a rain storm on that day which maybe explains the lull. The majority of the nestlings disperse on 7/3/2022 (last day with high volume of NCs), but stragglers can be heard thru the end of the recordings. Battery started running out on July 4th and completely died by July 13th.",20m,200,"Bulrush, cattails, common reed","Isolated pond/spring are approximately 2 acres in size, likely natural spring plus irrigation water. Some open water but mainly mix of common reed, bulrush, and cattail.",Franklin,"Fidorra, Jason C",Jason.Fidorra@dfw.wa.gov,,Washington,2022 Washington State - Harder Spring,,,7984,46.6572,-118.4990,276,,
33845,2022 WA1,2022 WA1 MW-MS04,0,2022 WA1 MC01,0,2022 WA1 FS01,13,2022 WA local Hatchling 01,1,2022 WA1 Nestling,2,2022 WA1 FC06,45,5/27/2022,8/1/2022,pre,ND,pre,"before start, HBC present",ND,pre,ND,5/31/2022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2022 WA1 Insect sp30-02,0,2022 WA 1 Insect sp31-01,0,2022 WA1 Insect sp32-02,1,2022 WA1 Insect sp33,0,,,,,,,,,,,Y,Unknown,,Successful,n/a,n/a,n/a,"Female Chatter, Hatchling Begging Call, and Fledgling Begging Call detections overlapped in the earliest recordings, indicating that breeding was already underway at the time of ARU deployment. The overlap of Brooding- and Dispersal-stage vocalizations supports classification of this colony as Asynchronous. Recordings containing Fledgling Begging Calls declined sharply by late May, consistent with Dispersal and confirming successful reproduction.",,"Very small colony, needed manual analysis. Hear fledglings at the beginning, so appears that this was placed after a successful first round. Because of this I have marked the pulse that has hatchlings as pulse 2. There are very few vocalizations, and the last nestling call I hear is on 6/9/2022. These vocalizations are distant to the recorder, and don't quite sound like fledglings. Because of this, I can't be certain that the young from this second pulse successfully fledged, though their vocalizations are heard 13 days after initial hatchling calls are heard, so I suspect that they did.",10m,150-200,"Bulrush, cattails, common reed",Wetland complex on private agricultural and ranch lands surrounded by levee road.,Adams,"Fidorra, Jason C",Jason.Fidorra@dfw.wa.gov,Audio on 5/27/2022 confirms time and location as Harder Springs. No email notes.,Washington,2022 Washington State - McCain Wetands,,,4754,46.8521,-119.1830,283,,
25861,2022 WC-WR1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEED,,Bob,,,Bob's Sites,2022 WC - Winter Roosts 1,Y,,4607,38.6620,-121.1770,55,,
