soundscape_id,name,playlist_id,playlist_name,date_created,user_id,aggregation_type,bin_size,frequency,threshold,threshold_type,normalized,min_time_bucket,max_time_bucket,max_frequency,url
7012,2021 IP,16097,2021 IP 08:00-17:40,01/13/2022 01:04:14,2511,day_of_year,21,0,1,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/7012/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=7a66afeecaaf59a86efc8a95f5b8d04596ecdd4d3f13760d17f9d98885de0870&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
7014,2021 CNWR 27-2,16102,2021 CNWR 27-2 08:00-17:40,01/14/2022 00:36:05,2511,day_of_year,21,0,0,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/7014/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=a7c51fe6e4233340bda85df57d6cfe660c580f1a88c0e4009a11131b10d3b462&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
7016,2021 Kern 1,16110,2021 Kern 1 08:00-17:40,01/16/2022 21:19:27,2511,day_of_year,21,0,0.234999999,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/7016/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=0490c160caf86b07b4b578f4c8fcc0b396369638efd4233793a86faa5bf3982e&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
7707,2021 HL 0700-1840,19472,2021 HL 0700-1840,08/02/2022 12:09:23,2511,day_of_year,21,0,0.75,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/7707/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=4b6c4e28ed7ac9bade234c37c154c80ca7d61b5ae759d12d4ac20166986605b2&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
7708,2020 HL 0700-1200,19473,2020 HL 0700-1200,08/02/2022 13:05:27,2511,day_of_year,21,0,0.100000001,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/7708/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=d9618af589022218474e399b256054bb625e9baf9d57a58f6c982e95b5327a79&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
7709,2019 HL 0700-1840,19474,2019 HL 0700-1840,08/02/2022 14:28:46,2511,day_of_year,21,0,0.910000026,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/7709/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=f1473b2d3f18af95c77bc8c5c14749dc1e1c19de197ee83604813d34ef8868cd&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
9899,2023 Kern HQ2 MC test,30520,2023 Kern - HQ2,12/24/2023 14:01:07,2511,day_of_year,21,0,0.456999987,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/9899/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=e1fd57ece15de33a3c72d3d3613c544451111979e5cc40bdfc9a319dcd03276d&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
11800,0800-1400 2024 RJ MP2 bb86,39319,0800-1400 2024 Rancho  Jamul - Main Pond 2,11/14/2024 22:48:19,2511,day_of_year,86,0,0.009,relative-to-peak-maximum,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/11800/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=d99f8e0a308cbe72dadf55213e074b41f1e5f5d4b9e46bf2186d5b15e9af9383&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
11801,2024 RJ MP2,37974,2024 Rancho Jamul - Main Pond 2,11/15/2024 00:29:53,2511,day_of_year,21,0,0,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/11801/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=12fc072c0366f8487acf00eeda3947c0190e96b77527da0ad26a0e8135dba86d&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
11802,2024 RJ MP2 bb86,37974,2024 Rancho Jamul - Main Pond 2,11/15/2024 01:11:24,2511,day_of_year,86,0,0,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/11802/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=29801916221724ff5c6fecf7714fc471839b62c7bdf84855a1b1cccd645c6373&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
11803,2024 RJ MP2 bb344,37974,2024 Rancho Jamul - Main Pond 2,11/15/2024 01:13:58,2511,day_of_year,344,0,0,absolute,0,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/11803/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=ed81bb7539f3b98e1d283f7985c1d6092b5aa14d2814556e650ec30bdde69b39&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
11804,0800-1400 2024 RJ MP2 bb 43,39319,0800-1400 2024 Rancho  Jamul - Main Pond 2,11/15/2024 04:08:21,2511,day_of_year,43,0,0.36500001,absolute,0,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/11804/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=3bd16970a237d7d599e6b7b8abd40a202d2129c6906ffa109b95bd259e3f16c2&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
11805,0800-1400 2024 RJ MP2 bb344,39319,0800-1400 2024 Rancho  Jamul - Main Pond 2,11/15/2024 04:15:50,2511,day_of_year,86,0,0.319999993,absolute,0,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/11805/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=c9e8bc0737da245147f2286e49b198a755006102f1044b7b93a345885ade1cb0&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
11806,0800-1400 2024 RJ MP2 bb 21,39319,0800-1400 2024 Rancho  Jamul - Main Pond 2,11/15/2024 04:15:59,2511,day_of_year,21,0,0.739000022,absolute,0,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/11806/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=02612d5778892bbf395de75870173d6e16b090c30747ec590ec4fefcda6601c8&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
11807,0800-1400 2024 RJ MP2 bb172,39319,0800-1400 2024 Rancho  Jamul - Main Pond 2,11/15/2024 04:16:12,2511,day_of_year,172,0,0.273000002,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/11807/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=fb6ae9f1da15b657679e5d1f4ee8e921075b195cbe78478bfb8f30f33f9e5381&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
11808,0900-1500 2024 RJ MP2 bb172,39321,0900-1500 2024 RJ MP2,11/15/2024 05:59:02,2511,day_of_year,172,0,0.291999996,absolute,0,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/11808/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=733a3bff118ba1ff2c26a0a14260525e4fc27db49fe21c279aadbb8d129db3a6&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
11809,0900-1500 Baja RCR2 bb172,39326,0900-1500 Baja RCR2,11/15/2024 06:07:18,2511,day_of_year,172,0,0.072999999,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/11809/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=7431da60c53f278c443a1f772d11a9f7e0fd7f9d69fa1c0a3a8bccc44df309f5&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
11810,0900-1500 2024 Baja RCR2,39326,0900-1500 Baja RCR2,11/15/2024 07:20:36,2511,day_of_year,344,0,0.082000002,absolute,0,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/11810/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=4002279134d769eeee3055e19d8dd9aea96a75c34cb24e6fc2d5266715ba806b&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
11811,0900-1500 2024 RJ MP2 bb 344,39321,0900-1500 2024 RJ MP2,11/15/2024 07:21:00,2511,day_of_year,344,0,0.300999999,absolute,1,1,366,24000,https://arbimon2.s3.us-east-1.amazonaws.com/project_1149/soundscapes/11811/image.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20250902%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250902T170402Z&X-Amz-Expires=604800&X-Amz-Signature=0c692dcb0c8f6ca8da56fdfbaa45624576c9372412f84108b8940379d1beb875&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dimage.png&x-id=GetObject
